stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
IVC,3/31/2020,90614000,119285000,165026000,142446000,-94616000,86000,376663000,88897000,-1377000,1057000,296582000,98932000,4260000,-106478000,372911000,67829000,87550000,3132000,9817000,869034000,23496000,552000,304512000,564522000,313623000,26217000,,,
IVC,12/31/2019,88003000,121184000,219464000,140013000,-91334000,85000,355877000,92183000,3128000,928000,218657000,80063000,4131000,-101199000,373403000,66949000,87475000,2851000,9590000,852126000,21634000,602000,308516000,543610000,312650000,26447000,,,
IVC,9/30/2019,89736000,123069000,222281000,132920000,-80939000,86000,356777000,90818000,210000,701000,202199000,85040000,3306000,-104083000,371694000,67443000,106569000,4471000,9590000,847405000,21193000,112000,315479000,531926000,303403000,24724000,,,
IVC,6/30/2019,86051000,124686000,233435000,139827000,-71186000,86000,367977000,92825000,9771000,580000,193854000,89511000,3583000,-94522000,377551000,67211000,115025000,3972000,9590000,867583000,20666000,208000,331926000,535657000,301833000,25561000,,,
CSLT,3/31/2020,13299000,,930000,38073000,67507000,,87019000,19157000,13000,,47209000,37681000,21917000,13000,41485000,1829000,-511377000,,15000,180682000,13730000,18873000,120096000,60586000,631445000,11104000,6009000,1859000,
CSLT,12/31/2019,19596000,,1395000,31397000,68911000,,95470000,18762000,2000,,54907000,43017000,24589000,2000,91785000,1785000,-455042000,,15000,242784000,18768000,21429000,172874000,69910000,627899000,12178000,16411000,1859000,
CSLT,9/30/2019,11989000,,1860000,35442000,75261000,,95971000,16669000,7000,,52111000,36040000,29115000,7000,91785000,1949000,-443296000,,15000,246793000,17509000,25671000,180299000,66494000,623573000,13253000,19977000,1859000,
CSLT,6/30/2019,11355000,,2324000,32611000,80268000,,101987000,18247000,7000,,54303000,50052000,30597000,7000,91785000,1904000,-433960000,,14000,257073000,20698000,27049000,186510000,70563000,620449000,14457000,13874000,1859000,
LPX,3/31/2020,208000000,284000000,697000000,172000000,931000000,12000000,976000000,1029000000,-175000000,,214000000,488000000,62000000,-577000000,30000000,192000000,983000000,,130000000,2132000000,4000000,,984000000,1138000000,448000000,23000000,,,10000000
LPX,12/31/2019,112000000,265000000,347000000,164000000,941000000,10000000,619000000,1072000000,-153000000,,244000000,181000000,84000000,-559000000,30000000,206000000,966000000,,130000000,1835000000,17000000,,991000000,834000000,454000000,20000000,,,10000000
LPX,9/30/2019,202000000,260000000,347000000,183000000,1159000000,10000000,761000000,1136000000,-152000000,,216000000,304000000,82000000,-560000000,30000000,221000000,1185000000,,135000000,2043000000,2000000,,1213000000,818000000,453000000,24000000,,,12000000
LPX,6/30/2019,213000000,293000000,347000000,177000000,1227000000,9000000,829000000,1115000000,-142000000,,229000000,348000000,86000000,-552000000,30000000,208000000,1315000000,,141000000,2090000000,5000000,,1278000000,799000000,374000000,21000000,,,13000000
GDYN,3/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDYN,12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDYN,3/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDYN,12/31/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARA,3/31/2020,57253000,7574000,573225000,120202000,-649479000,,252683000,286750000,-4104000,,203079000,62379000,21725000,-4104000,538609000,10911000,-185475000,49197000,199000,1124046000,49804000,,-86591000,922559000,102789000,24279000,,39845000,288078000
ARA,12/31/2019,49539000,7752000,542170000,114685000,-642545000,,220014000,285074000,-2150000,,190935000,34494000,18608000,-2150000,538609000,11482000,-178241000,50099000,197000,1086791000,42577000,,-79450000,875769000,100744000,24486000,,39172000,290472000
ARA,9/30/2019,58054000,7997000,546727000,117809000,-676539000,,212435000,295666000,-2299000,,211262000,60190000,9067000,-2299000,576082000,15265000,-178331000,13292000,197000,1117945000,51914000,,-75762000,908850000,104671000,24695000,,41054000,284857000
ARA,6/30/2019,57648000,7249000,561929000,121684000,-684631000,,230079000,298625000,-1853000,,222613000,69060000,15570000,-1853000,578237000,16336000,-183108000,15539000,197000,1147423000,63466000,,-81482000,934174000,103282000,24912000,,44048000,294731000
MBOT,3/31/2020,204000,,,,29678000,,30103000,1195000,,,927000,29585000,,,,,-37316000,76000,71000,31298000,,,29678000,1620000,66923000,,,,
MBOT,12/31/2019,284000,,,,31540000,,35936000,1190000,,,4826000,28771000,,,,,-35111000,4358000,72000,37126000,,,31540000,5586000,69954000,,,,
MBOT,9/30/2019,282000,,,,6403000,,10487000,636000,,,4589000,3548000,,,,,-33241000,4250000,43000,11123000,,,6403000,4720000,42976000,,,,
MBOT,6/30/2019,179000,,,,7981000,,11849000,726000,,,4406000,4879000,,,,,-31367000,4250000,43000,12575000,,,7981000,4594000,42680000,,,,
AZRX,3/31/2020,1322137,,,760232,-2078080,,2897436,126946,-1109061,,5143189,1630007,40727,-1109061,1844006,,-67956022,,2716,8184312,386925,,3041123,5143189,72103490,3275197,,,
AZRX,12/31/2019,1820080,,,2637303,-676526,,3408286,159777,-1266555,,4285636,175796,41047,-1266555,1886686,,-62694732,,2680,8902880,392989,,4617244,4285636,68575851,3407084,,,
AZRX,9/30/2019,2313508,,,2090233,-2170112,,3729814,285354,-1357146,,5819486,1549825,48669,-1357146,1832915,,-61413109,,2615,9435723,436320,,3201774,6233949,65969414,3538971,,,
AZRX,6/30/2019,2271144,,,2119700,-2636496,,3628632,349901,-1218905,,6221272,1310687,49275,-1218905,1913740,,-57220637,,2110,9612406,455560,,2948102,6664304,61385534,3670858,,,
XXII,3/31/2020,1446000,2448000,292000,1132000,49797000,8096000,38495000,3701000,-186000,,5035000,719000,,-186000,,,-129721000,,1000,64464000,71000,,58309000,6155000,188215000,8512000,33274000,587000,
XXII,12/31/2019,1997820,2266304,292177,866860,53556909,8402527,42743498,3721949,7074,,5780380,485111,,7074,,,-125693027,,1384,68951365,4850,,62050822,6900543,187735391,8493913,38477074,580709,
XXII,9/30/2019,1646780,2384130,589359,773968,46774293,1682048,47749964,3896537,114322,,5027328,617783,,114322,,,-119494595,,1258,61864260,594339,,55310004,6554256,174689019,8535711,43101178,576736,
XXII,6/30/2019,2220853,2931655,559485,910686,52557089,4641946,52086071,4063204,201779,,7181166,874427,,201779,,,-109248878,,1247,70546185,90040,,62312053,8234132,171357905,9754964,46095682,598431,
ABTX,3/31/2020,3953574000,12617000,298436000,,462065000,521048000,204709000,66798000,7486000,,3957395000,174889000,3965346000,7486000,223642000,40005000,164858000,17203000,20355000,5002429000,,,706593000,4295836000,513894000,20886000,,,
ABTX,12/31/2019,4068101000,8337000,183302000,,464347000,378787000,370053000,66790000,4900000,,4075294000,346248000,3931506000,4900000,223642000,15583000,163375000,15468000,20524000,4992654000,,,709865000,4282789000,521066000,21876000,,,
ABTX,9/30/2019,3897485000,8333000,267272000,,459613000,367138000,324153000,67175000,6494000,,3902400000,300619000,3900679000,6494000,223642000,17744000,149389000,15201000,20737000,4905840000,,,706308000,4199532000,529688000,23053000,,,
ABTX,6/30/2019,3860640000,6294000,196017000,,456828000,357039000,255409000,59690000,4233000,,3864171000,232607000,3874200000,4233000,223642000,14230000,137342000,16508000,21147000,4794211000,,,704701000,4089510000,541979000,24231000,,,
NATH,12/29/2019,4434000,599000,145968000,10436000,-65561000,,89392000,13639000,,52000,11631000,77395000,507000,-79288000,95000,2837000,-47076000,744000,94000,104930000,604000,,-64169000,169099000,62101000,1297000,,,
NATH,9/29/2019,4914000,615000,145795000,12170000,-64367000,,92851000,11970000,,359000,13973000,79471000,819000,-78303000,95000,2988000,-46810000,501000,94000,107060000,999000,,-62947000,170007000,62072000,1325000,,,
NATH,6/30/2019,5806000,748000,145622000,14974000,-66596000,,90398000,12339000,,351000,13854000,73903000,816000,-78303000,95000,3365000,-48989000,563000,94000,105001000,2722000,,-65148000,170149000,62050000,1353000,,,
NATH,3/31/2019,5222000,535000,145449000,10173000,-71592000,,87161000,4889000,,343000,14924000,75446000,808000,-78303000,95000,4077000,-52879000,763000,93000,94306000,1385000,,-70144000,164450000,60945000,1353000,,,
EGBN,3/31/2020,8141568000,8237000,267784000,,1058083000,887816000,1037052000,39342000,13065000,30366000,8487723000,939614000,7923314000,13065000,,54012000,710072000,86036000,320000,9992219000,,,1162778000,8829441000,439321000,104695000,,,
EGBN,12/31/2019,7224391000,1487000,217687000,,1086449000,873063000,300758000,41994000,2959000,29804000,7514516000,241973000,7668165000,2959000,,44344000,705105000,56707000,331000,8988719000,,,1190681000,7798038000,482286000,571000,,,
EGBN,9/30/2019,7402513000,1487000,217589000,,1079679000,736545000,449749000,41067000,4637000,29722000,7542045000,395522000,7671191000,4637000,,38185000,677055000,52199000,336000,9003467000,,,1184594000,7818873000,502566000,104915000,,,
EGBN,6/30/2019,6949892000,1394000,217491000,,1079363000,774143000,235962000,43390000,3767000,30220000,7207112000,196634000,7511289000,3767000,,29159000,647887000,37506000,343000,8670003000,,,1184582000,7485421000,532585000,105219000,,,
PUK,12/31/2019,,,7089000000,2330000000,15309000000,3.85831E+11,28190000000,1065000000,3105000000,4075000000,20762000000,2491000000,20683000000,2922000000,969000000,4.06209E+11,13758000000,21932000000,172000000,4.54214E+11,6786000000,,19477000000,4.34545E+11,2625000000,17476000000,,,192000000
PUK,9/30/2019,,,7089000000,2330000000,15309000000,3.85831E+11,28190000000,1065000000,3105000000,4075000000,20762000000,2491000000,20683000000,2922000000,969000000,4.06209E+11,13758000000,21932000000,172000000,4.54214E+11,6786000000,,19477000000,4.34545E+11,2625000000,17476000000,,,192000000
